field_id,field_name,field_type,field_label,required,field_context,page_number,table_name
table_0_row_6,full_legal_name_full_legal_name_full_legal_name_fu,text,Full legal name: Full legal name: Full legal name: Full legal name: Full legal name: Name: Name:,False,"Table 1, Row 7",0,Table 1
table_0_row_7,address_address_address_address_address_address_ad,text,Address: Address: Address: Address: Address: Address: Address:,False,"Table 1, Row 8",0,Table 1
table_0_row_12,full_legal_name_full_legal_name_full_legal_name_fu,text,Full legal name: Full legal name: Full legal name: Full legal name: Full legal name: Name: Name:,False,"Table 1, Row 13",0,Table 1
table_0_row_13,address_address_address_address_address_address_ad,text,Address: Address: Address: Address: Address: Address: Address:,False,"Table 1, Row 14",0,Table 1
table_0_row_18,full_legal_name_full_legal_name_full_legal_name_fu,text,Full legal name: Full legal name: Full legal name: Full legal name: Full legal name: Name: Name:,False,"Table 1, Row 19",0,Table 1
table_0_row_19,address_address_address_address_address_address_ad,text,Address: Address: Address: Address: Address: Address: Address:,False,"Table 1, Row 20",0,Table 1
table_1_row_19,based_on_the_payor_s_annual_income_of_based_on_the,currency,Based on the payor’s annual income of $ Based on the payor’s annual income of $ Based on the payor’s,False,"Table 2, Row 20",0,Table 2
table_1_row_20,shall_pay_to_name_of_party_shall_pay_to_name_of_pa,currency,shall pay to (name of party) shall pay to (name of party) shall pay to (name of party) shall pay to ,False,"Table 2, Row 21",0,Table 2
table_1_row_25,shall_pay_name_of_party_shall_pay_name_of_party_sh,currency,shall pay (name of party) shall pay (name of party) shall pay (name of party) shall pay (name of par,False,"Table 2, Row 26",0,Table 2
table_1_row_28,field,currency,$ $ $,False,"Table 2, Row 29",0,Table 2
table_1_row_29,field,currency,$ $ $,False,"Table 2, Row 30",0,Table 2
table_1_row_30,field,currency,$ $ $,False,"Table 2, Row 31",0,Table 2
table_1_row_31,field,currency,$ $ $,False,"Table 2, Row 32",0,Table 2
table_1_row_32,field,currency,$ $ $,False,"Table 2, Row 33",0,Table 2
table_1_row_34,field,currency,$ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,False,"Table 2, Row 35",0,Table 2
table_2_row_7,fixed_at_fixed_at_fixed_at_fixed_at_fixed_at_fixed,date,fixed at $ fixed at $ fixed at $ fixed at $ fixed at $ fixed at $ fixed at $ as of (date) as of (dat,False,"Table 3, Row 8",0,Table 3
table_2_row_9,per_month_with_payments_to_begin_on_date_per_month,date,"$ $ per month, with payments to begin on (date) per month, with payments to begin on (date) per mont",False,"Table 3, Row 10",0,Table 3
table_2_row_12,fixed_at_fixed_at_fixed_at_fixed_at_fixed_at_fixed,date,fixed at $ fixed at $ fixed at $ fixed at $ fixed at $ fixed at $ as of (date) as of (date) as of (d,False,"Table 3, Row 13",0,Table 3
table_2_row_14,per_month_with_payments_to_begin_on_date_per_month,date,"$ per month, with payments to begin on (date) per month, with payments to begin on (date) per month,",False,"Table 3, Row 15",0,Table 3
table_2_row_20,per_month_with_payments_to_begin_on_date_per_month,date,"$ $ $ per month, with payments to begin on (date) per month, with payments to begin on (date) per mo",False,"Table 3, Row 21",0,Table 3
table_2_row_25,fixed_at_fixed_at_fixed_at_fixed_at_fixed_at_fixed,date,fixed at $ fixed at $ fixed at $ fixed at $ fixed at $ fixed at $ as of (date) as of (date) as of (d,False,"Table 3, Row 26",0,Table 3
table_2_row_27,per_month_with_payments_to_begin_on_date_per_month,date,"$ per month, with payments to begin on (date) per month, with payments to begin on (date) per month,",False,"Table 3, Row 28",0,Table 3
table_2_row_30,shall_be_fixed_at_shall_be_fixed_at_shall_be_fixed,date,shall be fixed at $ shall be fixed at $ shall be fixed at $ shall be fixed at $ shall be fixed at $ ,False,"Table 3, Row 31",0,Table 3
table_2_row_32,per_month_with_payments_to_begin_on_date_per_month,date,"$ $ $ per month, with payments to begin on (date) per month, with payments to begin on (date) per mo",False,"Table 3, Row 33",0,Table 3
