field_id,field_name,field_type,field_label,required,field_context,page_number,table_name
table_0_row_6,full_legal_name_full_legal_name_full_legal_name_na,text,Full legal name: Full legal name: Full legal name: Name: Name: Name: Name:,False,"Table 1, Row 7",0,Table 1
table_0_row_7,address_address_address_address_address_address_ad,text,Address: Address: Address: Address: Address: Address: Address:,False,"Table 1, Row 8",0,Table 1
table_0_row_12,full_legal_name_full_legal_name_full_legal_name_na,text,Full legal name: Full legal name: Full legal name: Name: Name: Name: Name:,False,"Table 1, Row 13",0,Table 1
table_0_row_13,address_address_address_address_address_address_ad,text,Address: Address: Address: Address: Address: Address: Address:,False,"Table 1, Row 14",0,Table 1
table_0_row_18,full_legal_name_full_legal_name_full_legal_name_na,text,Full legal name: Full legal name: Full legal name: Name: Name: Name: Name:,False,"Table 1, Row 19",0,Table 1
table_0_row_19,address_address_address_address_address_address_ad,text,Address: Address: Address: Address: Address: Address: Address:,False,"Table 1, Row 20",0,Table 1
table_1_row_6,4_requesting_party_s_birth_date_requesting_party_s,date,4. Requesting party’s birth date: Requesting party’s birth date: Requesting party’s birth date: Requ,False,"Table 2, Row 7",0,Table 2
table_1_row_7,5_responding_party_s_birth_date_responding_party_s,date,5. Responding party’s birth date: Responding party’s birth date: Responding party’s birth date: Resp,False,"Table 2, Row 8",0,Table 2
table_1_row_19,field,currency,$ $,False,"Table 2, Row 20",0,Table 2
table_1_row_20,field,currency,$ $,False,"Table 2, Row 21",0,Table 2
table_1_row_21,field,currency,$ $,False,"Table 2, Row 22",0,Table 2
table_6_row_7,field,currency,$ $ $ $ $,False,"Table 7, Row 8",0,Table 7
table_6_row_10,before_today_give_exact_date_d_m_y_before_today_gi,date,"Before today (give exact date: d, m, y) Before today (give exact date: d, m, y) Before today (give e",False,"Table 7, Row 11",0,Table 7
