field_id,field_name,field_type,field_label,required,field_context,page_number,table_name
table_1_row_35,5_this_court_finds_that_name_of_payor_this_court_f,currency,5. THIS COURT FINDS that (name of payor) THIS COURT FINDS that (name of payor) THIS COURT FINDS that,False,"Table 2, Row 36",0,Table 2
table_1_row_37,the_sum_of_the_sum_of_the_sum_of_the_sum_of_the_su,currency,the sum of $ the sum of $ the sum of $ the sum of $ the sum of $ the sum of $ the sum of $ the sum o,False,"Table 2, Row 38",0,Table 2
table_2_row_4,this_court_finds_that_name_of_recipient_this_court,currency,THIS COURT FINDS that (name of recipient) THIS COURT FINDS that (name of recipient) THIS COURT FINDS,False,"Table 3, Row 5",0,Table 3
table_2_row_6,the_sum_of_the_sum_of_the_sum_of_the_sum_of_the_su,currency,the sum of $ the sum of $ the sum of $ the sum of $ the sum of $ the sum of $ per month for the spec,False,"Table 3, Row 7",0,Table 3
table_2_row_11,field,currency,$ $,False,"Table 3, Row 12",0,Table 3
table_2_row_12,field,currency,$ $,False,"Table 3, Row 13",0,Table 3
table_2_row_13,field,currency,$ $,False,"Table 3, Row 14",0,Table 3
table_2_row_14,field,currency,$ $,False,"Table 3, Row 15",0,Table 3
table_2_row_18,spousal_support_in_the_amount_of_spousal_support_i,currency,spousal support in the amount of $ spousal support in the amount of $ spousal support in the amount ,False,"Table 3, Row 19",0,Table 3
table_2_row_22,8_this_court_finds_that_the_amount_of_support_owed,date,8. THIS COURT FINDS that the amount of support owed is $ THIS COURT FINDS that the amount of support,False,"Table 3, Row 23",0,Table 3
table_2_row_25,at_the_rate_of_at_the_rate_of_at_the_rate_of_at_th,date,at the rate of $ at the rate of $ at the rate of $ at the rate of $ at the rate of $ at the rate of ,False,"Table 3, Row 26",0,Table 3
table_3_row_5,serve_and_file_the_following_before_the_next_court,date,serve and file the following before the next court date: serve and file the following before the nex,False,"Table 4, Row 6",0,Table 4
table_3_row_14,to_name_to_name_to_name_fixed_at_fixed_at_fixed_at,currency,to (name) to (name) to (name) fixed at $ fixed at $ fixed at $,False,"Table 4, Row 15",0,Table 4
