confidence,context,coordinates,extraction_method,field_label,field_name,field_type,page_number,required,table_info,validation_rules,value
0.7,"Table 2, Row 4",,docx_table,1.       $       $      ,1,currency,0,False,"{'table_index': 1, 'row_index': 3}",,
0.7,"Table 2, Row 5",,docx_table,      $       $      ,field,currency,0,False,"{'table_index': 1, 'row_index': 4}",,
0.7,"Table 2, Row 17",,docx_table,TOTAL 1  $       $      ,total_1,currency,0,False,"{'table_index': 1, 'row_index': 16}",,
0.7,"Table 4, Row 4",,docx_table,1.       1.       $ $       $ $      ,1_1,currency,0,False,"{'table_index': 3, 'row_index': 3}",,
0.7,"Table 4, Row 5",,docx_table,            $ $       $ $      ,field,currency,0,False,"{'table_index': 3, 'row_index': 4}",,
0.7,"Table 4, Row 17",,docx_table,TOTAL 2  TOTAL 2  $ $       $ $      ,total_2_total_2,currency,0,False,"{'table_index': 3, 'row_index': 16}",,
0.7,"Table 4, Row 27",,docx_table,TOTAL OF PROPERTY ITEMS TOTAL OF PROPERTY ITEMS $                   $      ,total_of_property_items_total_of_property_items,currency,0,False,"{'table_index': 3, 'row_index': 26}",,
0.7,"Table 4, Row 35",,docx_table,TOTAL OF DEBT ITEMS TOTAL OF DEBT ITEMS $                   $      ,total_of_debt_items_total_of_debt_items,currency,0,False,"{'table_index': 3, 'row_index': 34}",,
0.7,"Table 4, Row 36",,docx_table,NET TOTAL 3 [3(a) minus 3(b)]  NET TOTAL 3 [3(a) minus 3(b)]  $                   $      ,net_total_3_3_a_minus_3_b_net_total_3_3_a_minus_3_,currency,0,False,"{'table_index': 3, 'row_index': 35}",,
0.7,"Table 6, Row 5",,docx_table,      $ $       $      ,field,currency,0,False,"{'table_index': 5, 'row_index': 4}",,
0.7,"Table 6, Row 17",,docx_table,TOTAL 4  $ $       $      ,total_4,currency,0,False,"{'table_index': 5, 'row_index': 16}",,
0.7,"Table 6, Row 19",,docx_table,TOTAL 2 (from page 2)     $ $       $      ,total_2_from_page_2,currency,0,False,"{'table_index': 5, 'row_index': 18}",,
0.7,"Table 6, Row 20",,docx_table,TOTAL 3 (from page 2)   $ $       $      ,total_3_from_page_2,currency,0,False,"{'table_index': 5, 'row_index': 19}",,
0.7,"Table 6, Row 21",,docx_table,TOTAL 4 (from page 3)   $ $       $      ,total_4_from_page_3,currency,0,False,"{'table_index': 5, 'row_index': 20}",,
0.7,"Table 6, Row 22",,docx_table,TOTAL 5 ([Total 2] + [Total 3] +[Total 4]) $ $       $      ,total_5_total_2_total_3_total_4,currency,0,False,"{'table_index': 5, 'row_index': 21}",,
0.7,"Table 6, Row 24",,docx_table,TOTAL 1 (from page 1)     $             $      ,total_1_from_page_1,currency,0,False,"{'table_index': 5, 'row_index': 23}",,
0.7,"Table 6, Row 25",,docx_table,TOTAL 5 (from above)   $             $      ,total_5_from_above,currency,0,False,"{'table_index': 5, 'row_index': 24}",,
0.7,"Table 6, Row 26",,docx_table,TOTAL 6:  NET FAMILY PROPERTY ([Total 1] minus [Total 5])     $             $      ,total_6_net_family_property_total_1_minus_total_5,currency,0,False,"{'table_index': 5, 'row_index': 25}",,
