field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
legacy_,field,dropdown,,False,,,"['          ', 'Ontario Court of Justice', 'Superior Court of Justice', 'Superior Court of Justice, Family Court']",,,Legacy Form Field,0,,
legacy_CourtFileNo,courtfileno,text,Court File Number,False,,,,,,Legacy Form Field,0,,
legacy_Text1,text1,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__2,2,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_2,text1_2,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_3,text1_3,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_4,text1_4,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_5,text1_5,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_6,text1_6,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_7,text1_7,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_8,text1_8,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__3,3,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_9,text1_9,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_10,text1_10,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_11,text1_11,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_12,text1_12,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_13,text1_13,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_14,text1_14,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_15,text1_15,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1,check1,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Check2,check2,checkbox,Checkbox 2,False,,,,,,Legacy Form Field,0,,
legacy__4,4,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_16,text1_16,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_17,text1_17,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_18,text1_18,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__5,5,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_19,text1_19,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_20,text1_20,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_21,text1_21,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__6,6,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_22,text1_22,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_23,text1_23,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_24,text1_24,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__7,7,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_25,text1_25,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_26,text1_26,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_27,text1_27,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__8,8,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_28,text1_28,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_29,text1_29,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_30,text1_30,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__9,9,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_31,text1_31,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_32,text1_32,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_33,text1_33,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__10,10,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_34,text1_34,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_35,text1_35,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_36,text1_36,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__11,11,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_37,text1_37,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_38,text1_38,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_39,text1_39,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__12,12,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_40,text1_40,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_41,text1_41,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_42,text1_42,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__13,13,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_43,text1_43,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_44,text1_44,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_45,text1_45,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__14,14,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_46,text1_46,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_47,text1_47,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_48,text1_48,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__15,15,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_49,text1_49,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_50,text1_50,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_51,text1_51,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__16,16,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_52,text1_52,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_53,text1_53,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_54,text1_54,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__17,17,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_55,text1_55,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_56,text1_56,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_57,text1_57,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__18,18,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_58,text1_58,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_59,text1_59,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_60,text1_60,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__19,19,text,,False,,,,,,Legacy Form Field,0,,
