field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
legacy_Dropdown1,dropdown1,dropdown,Dropdown 1,False,,,"['          ', 'Ontario Court of Justice', 'Superior Court of Justice', 'Superior Court of Justice Family Court Branch']",,,Legacy Form Field,0,,
legacy_CourtFileNo,courtfileno,text,Court File Number,False,,,,,,Legacy Form Field,0,,
legacy_Text1,text1,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_2,text1_2,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_3,text1_3,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_4,text1_4,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_5,text1_5,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_6,text1_6,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_7,text1_7,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_8,text1_8,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_9,text1_9,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_10,text1_10,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
