field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
legacy_,field,dropdown,,False,,,"['          ', 'Superior Court of Justice', 'Superior Court of Justice, Family Court', 'Ontario Court of Justice']",,,Legacy Form Field,0,,
legacy_CourtFileNo,courtfileno,text,Court File Number,False,,,,,,Legacy Form Field,0,,
legacy_Text1,text1,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_2,text1_2,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_3,text1_3,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_4,text1_4,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_5,text1_5,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_6,text1_6,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_7,text1_7,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_8,text1_8,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check3,check3,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Text1_9,text1_9,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check3_2,check3_2,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Check3_3,check3_3,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Check3_4,check3_4,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Check3_5,check3_5,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Check3_6,check3_6,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Check3_7,check3_7,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Check3_8,check3_8,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Check3_9,check3_9,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Text1_10,text1_10,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_11,text1_11,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__2,2,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_12,text1_12,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_13,text1_13,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_14,text1_14,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check2,check2,checkbox,Checkbox 2,False,,,,,,Legacy Form Field,0,,
legacy_Check2_2,check2_2,checkbox,Checkbox 2,False,,,,,,Legacy Form Field,0,,
legacy_Check2_3,check2_3,checkbox,Checkbox 2,False,,,,,,Legacy Form Field,0,,
legacy_Check2_4,check2_4,checkbox,Checkbox 2,False,,,,,,Legacy Form Field,0,,
legacy_Check2_5,check2_5,checkbox,Checkbox 2,False,,,,,,Legacy Form Field,0,,
legacy_Text1_15,text1_15,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_16,text1_16,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_17,text1_17,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
