field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
legacy_,field,dropdown,,False,,,"['          ', 'Ontario Court of Justice', 'Superior Court of Justice', 'Superior Court of Justice, Family Court']",,,Legacy Form Field,0,,
legacy_CourtFileNo,courtfileno,text,Court File Number,False,,,,,,Legacy Form Field,0,,
legacy__2,2,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1,text1,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_2,text1_2,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_3,text1_3,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_4,text1_4,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_5,text1_5,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_6,text1_6,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_7,text1_7,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_8,text1_8,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_9,text1_9,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_10,text1_10,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_11,text1_11,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1,check1,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1_2,check1_2,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_12,text1_12,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1_3,check1_3,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_13,text1_13,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1_4,check1_4,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1_5,check1_5,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_14,text1_14,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1_6,check1_6,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1_7,check1_7,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Text4,text4,text,Text Field 4,False,,,,,,Legacy Form Field,0,,
legacy_Check1_8,check1_8,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1_9,check1_9,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Text4_2,text4_2,text,Text Field 4,False,,,,,,Legacy Form Field,0,,
legacy_Check1_10,check1_10,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1_11,check1_11,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Text4_3,text4_3,text,Text Field 4,False,,,,,,Legacy Form Field,0,,
legacy_Check1_12,check1_12,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1_13,check1_13,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1_14,check1_14,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy__3,3,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check1_15,check1_15,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1_16,check1_16,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy__4,4,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_15,text1_15,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Check1_17,check1_17,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_16,text1_16,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text5,text5,text,Text Field 5,False,,,,,,Legacy Form Field,0,,
legacy_Text1_17,text1_17,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_18,text1_18,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_19,text1_19,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
