field_id,field_name,field_type,field_label,required,field_context,page_number,table_name
table_0_row_7,full_legal_name_full_legal_name_full_legal_name_fu,text,Full legal name: Full legal name: Full legal name: Full legal name: Full legal name: Full legal name,False,"Table 1, Row 8",0,Table 1
table_0_row_8,address_address_address_address_address_address_ad,text,Address: Address: Address: Address: Address: Address: Address:,False,"Table 1, Row 9",0,Table 1
table_0_row_12,full_legal_name_full_legal_name_full_legal_name_fu,text,Full legal name: Full legal name: Full legal name: Full legal name: Full legal name: Full legal name,False,"Table 1, Row 13",0,Table 1
table_0_row_13,address_address_address_address_address_address_ad,text,Address: Address: Address: Address: Address: Address: Address:,False,"Table 1, Row 14",0,Table 1
table_1_row_8,4_last_year_my_gross_income_from_all_sources_was_l,currency,"4. Last year, my gross income from all sources was $ Last year, my gross income from all sources was",False,"Table 2, Row 9",0,Table 2
table_1_row_21,1_1_employment_income_before_deductions_employment,currency,1. 1. Employment income (before deductions) Employment income (before deductions) Employment income ,False,"Table 2, Row 22",0,Table 2
table_1_row_22,2_2_commissions_tips_and_bonuses_commissions_tips_,currency,"2. 2. Commissions, tips and bonuses Commissions, tips and bonuses Commissions, tips and bonuses Comm",False,"Table 2, Row 23",0,Table 2
table_1_row_23,3_3_self_employment_income_monthly_amount_before_e,currency,3. 3. Self-employment income (Monthly amount before expenses: $      ) Self-employment income (Month,False,"Table 2, Row 24",0,Table 2
table_1_row_24,4_4_employment_insurance_benefits_employment_insur,currency,4. 4. Employment Insurance benefits Employment Insurance benefits Employment Insurance benefits Empl,False,"Table 2, Row 25",0,Table 2
table_1_row_25,5_5_workers_compensation_benefits_workers_compensa,currency,5. 5. Workers' compensation benefits Workers' compensation benefits Workers' compensation benefits W,False,"Table 2, Row 26",0,Table 2
table_1_row_26,6_6_social_assistance_income_including_odsp_paymen,currency,6. 6. Social assistance income (including ODSP payments) Social assistance income (including ODSP pa,False,"Table 2, Row 27",0,Table 2
table_1_row_27,7_7_interest_and_investment_income_interest_and_in,currency,7. 7. Interest and investment income Interest and investment income Interest and investment income I,False,"Table 2, Row 28",0,Table 2
table_1_row_28,8_8_pension_income_including_cpp_and_oas_pension_i,currency,8. 8. Pension income (including CPP and OAS) Pension income (including CPP and OAS) Pension income (,False,"Table 2, Row 29",0,Table 2
table_1_row_29,9_9_spousal_support_received_from_a_former_spouse_,currency,9. 9. Spousal support received from a former spouse/partner Spousal support received from a former s,False,"Table 2, Row 30",0,Table 2
table_1_row_30,10_10_child_tax_benefits_or_tax_rebates_e_g_gst_ch,currency,10. 10. Child Tax Benefits or Tax Rebates (e.g. GST) Child Tax Benefits or Tax Rebates (e.g. GST) Ch,False,"Table 2, Row 31",0,Table 2
table_1_row_31,11_11_other_sources_of_income_e_g_rrsp_withdrawals,currency,"11. 11. Other sources of income (e.g. RRSP withdrawals, capital gains) (*attach Schedule A and divid",False,"Table 2, Row 32",0,Table 2
table_1_row_32,12_12_total_monthly_income_from_all_sources_total_,currency,12. 12. Total monthly income from all sources: Total monthly income from all sources: Total monthly ,False,"Table 2, Row 33",0,Table 2
table_1_row_33,13_13_total_monthly_income_x_12_total_annual_incom,currency,13. 13. Total monthly income X 12 = Total annual income: Total monthly income X 12 = Total annual in,False,"Table 2, Row 34",0,Table 2
table_2_row_6,field,currency,$,False,"Table 3, Row 7",0,Table 3
table_2_row_7,field,currency,$,False,"Table 3, Row 8",0,Table 3
table_2_row_8,field,currency,$,False,"Table 3, Row 9",0,Table 3
table_2_row_9,field,currency,$,False,"Table 3, Row 10",0,Table 3
